Growth,Target,Condition
0.10101224011899541,0.024662682725632424,KO (ACKr)
0.11945123008731622,0.06767693249566141,KO (ACKr)
0.0981056892994869,0.09208801530790377,KO (ACKr)
0.11239250299514802,0.1001837972516546,KO (ACKr)
0.13267873763911167,0.05864507398254441,KO (ACKr)
0.11674535925966764,0.08774562264060351,KO (ACKr)
0.07099361494069763,0.08746964983981553,KO (ACKr)
0.03500905447128091,0.08576957767263346,KO (ACKr)
0.2804569027386971,0.02364239369811408,KO (ACKr)
0.20131638142972882,0.02098367875360159,KO (ACKr)
0.01727475709713494,0.006737706776787988,KO (ACKr)
0.05649665419728046,0.0556970171578781,KO (ACKr)
0.08856766477946934,0.056052882420516155,KO (ACKr)
0.0692433239105548,0.06812644349509725,KO (ACKr)
0.053360100227959326,0.11695548865058787,KO (ACKr)
0.0285109261990394,0.12250839230588842,KO (ACKr)
0.08610857451255781,0.12770202081881954,KO (ACKr)
0.05423129535423325,0.07754753659449454,KO (ACKr)
0.10008033308245949,0.0695939639696132,KO (ACKr)
0.10104881406234274,0.06146066416911813,KO (ACKr)
0.15519180887658995,0.03974352942708814,KO (ACKr)
0.08952065457609357,0.08748511233236521,KO (ACKr)
0.11533621045142721,0.10561458390809242,KO (ACKr)
0.13191970980769613,0.10619755482620796,KO (ACKr)
0.12528080003121597,0.08445650104329655,KO (ACKr)
0.08270522071688084,0.07915934925379689,KO (ACKr)
0.09749290214511887,0.07614905095727334,KO (ACKr)
0.07083017017439616,0.05235464154679669,KO (ACKr)
0.14785654968077327,0.05839619627008728,KO (ACKr)
0.14746984189638945,0.03219958924552365,KO (ACKr)
0.18437415470180038,0.014158162130378547,KO (ACKr)
0.24254035395604565,0.014756239644263718,KO (ACKr)
0.12253331304868353,0.030044322336411935,KO (ACKr)
0.007269130427099544,0.0009726178667341093,KO (ACKr)
0.07001570909397063,0.0050367179713389715,KO (ACKr)
0.08247602943013889,0.01692351519645793,KO (ACKr)
0.050543350554371154,0.035483479574663794,KO (ACKr)
0.08727505083632939,0.010169043265692266,KO (ACKr)
0.07652069809135949,0.0030275370764865565,KO (ACKr)
0.103966659657603,0.004208480937668633,KO (ACKr)
0.10027795947904503,0.0038621770866098318,KO (ACKr)
0.08234902114143333,0.03371516536474111,KO (ACKr)
0.0572794292917733,0.024974229610732073,KO (ACKr)
0.06469685530399759,0.02469327075802156,KO (ACKr)
0.0664787348777584,0.04207388847015439,KO (ACKr)
0.1381607000724228,0.013324394958564375,KO (ACKr)
0.07402836076490442,0.00936602350209953,KO (ACKr)
0.05318287392456461,0.0034472472075721557,KO (ACKr)
0.03515634479557677,0.0024337860996635342,KO (ACKr)
0.12988100973239772,0.024685220755454297,KO (ACKr)
0.06414454606327924,0.02924305061287949,KO (ACKr)
0.03887760209011595,0.07300645986245016,KO (ACKr)
0.08995268411075512,0.010240912607890937,KO (ACKr)
0.09992982262484537,0.008119372130933215,KO (ACKr)
0.0714994580071045,0.007276793356927017,KO (ACKr)
0.08293706509958923,0.005952321491038732,KO (ACKr)
0.07335796464841425,0.01850301387422751,KO (ACKr)
0.06836913753941472,0.014944020637026927,KO (ACKr)
