,p1k_00001,p1k_00002,p1k_00106,p1k_00107
b0380,28.470597549410346,29.181863076637253,128.84410304374742,134.61667296821327
b0381,62.22233916692934,69.0675638156228,60.43859442059427,59.480173972629515
b0382,180.988798546796,143.78540683414008,192.35430698454584,219.5569983981149
b0383,26.855951655811072,34.207230603228496,28.423274292043587,28.11648271696357
b0384,73.39180966876332,68.78791598697656,30.29146772052626,30.426456297435593
b0385,3.6964227080586887,4.585864297269356,3.7354655839475206,2.3190744965606136
b0386,144.64942307935752,143.3488519334675,103.06082877386115,105.95436078517908
b0387,46.16361172110242,68.02402240127181,52.611262814111285,53.11637469712941
b0388,271.35104491939455,268.2647113909565,176.60751174347772,178.585115102326
b0389,270.0524283419914,225.06048943277239,166.99489022476988,160.73167731669207
b0390,65.84936384939333,53.75266516209652,53.230447289245404,45.87187931576662
b0391,300.7475938812635,311.6679589543863,243.08006591837972,258.8304666231832
b0392,26.418908818538714,28.05912071485394,20.280713206538422,25.75000304883032
b0393,132.79948631999446,129.34799150207655,110.65905634426642,110.62637218876857
b0394,31.34587932090891,40.07171939336409,47.748835997254524,42.56608347274435
b0396,15.954337586409688,16.407868813208676,12.541310188488838,12.801542458637249
b0397,30.111426106252853,31.916542596909487,28.084082050615958,29.027503767216007
b0398,31.98980912112569,39.25518072601626,24.346277842560244,27.513068431595343
b0399,39.52367401185076,38.33586317512483,34.978764136458835,34.60198901241537
b0400,16.350468164210266,18.94799786025823,15.604346810760358,12.358697049907828
b0401,38.86839709295932,41.54879049623058,33.65549078552242,36.40815653215578
b0402,35.555029890296524,37.04263384039013,34.59390641774038,33.230922912216194
b0403,22.369335679139738,24.013247273173498,21.721897830137706,19.924903515459967
b0404,40.065698068095095,43.974920060685285,29.324759087955822,30.71997227704041
b0405,72.64780341710431,81.56894678101929,60.06031103072848,59.30161479203519
b0406,239.61428614520904,255.77041306653587,212.09646110038315,207.84912351395442
b0407,836.3890029993967,710.7830718300571,969.4553636165421,997.8638124093376
b0408,265.1560427871154,290.9049040000753,322.59909678339056,332.4453047794988
b0409,188.1295167066214,183.18182785987113,226.2524199771825,230.82430363228866
